m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Hans-Ole Jochumsen	0.025687853	-0.009513119	0.30364645	-0.011403721	2.041989	0.48405853	-0.6497781	-1.3845674	-2.027524	0.65825546	-0.187974	-0.044553187	-1.3761597	-0.6023406	0.6047702	-0.6798339	-1.5834036	-1.0750337	-0.39886415	0.80229187	0.48258516	0.650533	1.5535303	0.00014352697	0.6453517	0.8176806	-1.721772	-0.007992404	-0.14931639	-0.034658242	0.29395306	0.16030385	1
Ingrid Maria Magdalena Hartman	0.0077464986	-0.03395697	0.26945654	0.020787507	2.065162	0.4992321	-0.67136604	-1.418543	-2.0029855	0.641353	-0.20069595	-0.079464264	-1.3399408	-0.6340068	0.58213204	-0.64331585	-1.5540379	-1.0763851	-0.3915118	0.7713081	0.49044505	0.64779145	1.5594494	0.035090446	0.6274567	0.8057132	-1.7789997	0.07020655	-0.17460027	-0.025615858	0.21952385	0.18410218	2
Jens Olof Henriksson	0.052539114	-0.009987657	0.27351192	0.012284167	2.0527139	0.48607033	-0.6372434	-1.4027365	-1.9810965	0.6690275	-0.2145963	-0.07565918	-1.3822467	-0.59125805	0.5649226	-0.67710114	-1.5934277	-1.0543041	-0.38062102	0.7364555	0.44627914	0.61361176	1.57076	-0.0055921474	0.6121564	0.8461352	-1.7383815	0.07946691	-0.15918404	-0.05777621	0.25188482	0.22773202	1
Suzanne Dahl	-0.016231697	-0.0106952395	0.28552568	0.004324488	2.0789793	0.51225275	-0.6577493	-1.4227121	-1.9949514	0.65951896	-0.22564301	-0.08852637	-1.3967985	-0.62822735	0.5904185	-0.6535099	-1.5913717	-1.0627763	-0.3829701	0.7759943	0.46031326	0.6301092	1.5648828	-0.003842198	0.63200635	0.7888963	-1.7466594	0.04150288	-0.17083307	-0.035573583	0.26940945	0.21107273	2
Fiona Forbes Walker	0.25231567	-0.112969495	1.5173726	-0.25516272	0.38503423	0.66818154	-0.20303547	1.1968476	0.13389139	0.3578727	-0.6718382	-0.35449052	0.4293721	0.1119379	0.13396621	-1.1538513	0.19399974	0.8536349	-0.84925973	1.2003839	-0.1389484	-0.21468908	1.1596799	0.1050916	0.9182931	0.24869733	-1.614544	-1.5220157	0.52161044	1.562677	-0.57057947	-0.06412224	2
Jonas Per Jonhede	0.21902667	-0.22448023	1.4678026	-0.31208557	0.47784755	0.6192916	-0.11610297	1.2846247	0.108373456	0.4296619	-0.7823669	-0.36449534	0.40838993	0.05853874	0.2275434	-1.0865166	0.14130042	0.8706737	-0.7668433	1.2011193	-0.084644616	-0.39342093	1.2735755	-0.011991546	0.9136508	0.121088915	-1.5910602	-1.5302941	0.5616262	1.6113322	-0.65314853	-0.008950124	1
Maria Tallaksen	0.24156019	-0.20685665	1.4080133	-0.22961955	0.46997955	0.7205956	-0.12778428	1.2332871	0.1767001	0.35465124	-0.7906304	-0.4044942	0.4857559	0.083041914	0.16477084	-1.1709368	0.28744775	0.97007996	-0.8166478	1.2021679	-0.100563705	-0.2781558	1.1370338	0.041446447	0.86841255	0.18758178	-1.6090753	-1.455563	0.60665035	1.5087904	-0.5912801	-0.06220146	2
Per Inge Remmen	0.19750479	-0.19710383	1.488986	-0.15102251	0.48500636	0.77283865	-0.16424705	1.284938	0.17726286	0.4693612	-0.6006346	-0.28254583	0.32374534	-0.00040483748	0.22508875	-0.98298544	0.21927783	0.8191279	-0.7231744	1.1662482	-0.14472404	-0.2603528	1.1858059	0.1314595	0.8431279	0.052950677	-1.6357908	-1.3642062	0.41551256	1.5691252	-0.50328475	0.045376357	1
Reynir Kjær Indahl	0.19240594	-0.23871876	1.4023875	-0.30411854	0.5166146	0.605805	-0.25644252	1.2446395	0.06322233	0.37944844	-0.8024041	-0.47550657	0.5476922	0.16601112	0.14323007	-1.0599217	0.16738003	0.8767066	-0.7956762	1.0550774	-0.096192114	-0.34651837	1.1593744	0.06174287	0.86009455	0.08564156	-1.5405324	-1.4223107	0.58717084	1.5645765	-0.6079466	0.046499364	1
Thomas Nils Robert Nilsson	0.259517	-0.28954718	1.4605092	-0.23850054	0.34593925	0.6710277	-0.17752977	1.1809239	0.079231426	0.37461874	-0.69666964	-0.38223457	0.39739835	0.09255415	0.15354577	-0.98611027	0.15244752	0.727687	-0.71895164	1.2442019	-0.2181546	-0.30048487	0.9951557	0.096546344	0.89234424	0.17639656	-1.5866065	-1.3570004	0.47830206	1.5476938	-0.5529871	0.06598793	1
Tove Magnussen	0.25953853	-0.19977605	1.5280071	-0.24534667	0.3912231	0.63222086	-0.13953254	1.1956418	0.13508601	0.3238995	-0.73501515	-0.39937225	0.41657776	0.06143512	0.17064887	-1.0989242	0.27605027	0.86185837	-0.7305405	1.159516	-0.079775214	-0.26993847	1.0742288	0.06927343	0.94421047	0.15397666	-1.6368186	-1.3647779	0.49250376	1.4818059	-0.5086553	0.012606831	2
